name(Linux),name(Mac/Windows),name_zh,url
Digitalocean,Digitalocean,Digitalocean,https://cloud.digitalocean.com/
weekly,weekly,weekly,https://weekly.tw93.fun/
tmp,tmp,tmp,https://tmp.link/
iCloud,iCloud,iCloud,https://www.icloud.com/
Clouflare,Clouflare,Clouflare,https://www.cloudflare.com/zh-cn/
V2ex,V2ex,V2ex,https://v2ex.com/
Notion,Notion,Notion,https://www.notion.so/
instagram,instagram,instagram,https://www.instagram.com/
appinn,appinn,appinn,https://www.appinn.com/
Azure,Azure,Azure,https://portal.azure.com/ 
Z-Library,Z-Library,Z-Library,https://zlib.cydiar.com/
icons,icons,icons,https://icon-icons.com/
color,color,color,http://150.230.251.103:1234/
1024,1024,1024,https://1024.day/
